## Requirement list

| No. | Requirement | Usecase(s) |
| --- | --- | --- |
| 1 | 시스템 이용자가 ID와 비밀번호를 입력하여 로그인하여 시스템을 이용한다. | 로그인 |
| 2 | 시스템 이용자가 로그아웃 시 시스템 접속을 종료한다. | 로그아웃 |
| 3 | 비회원이 회원 등록 하는 기능을 제공한다. | 회원가입 |
| 4 | 회원이 회원 탈퇴 기능을 제공한다. | 설문 등록 |
| 5 | 회원이 대여소의 이름을 검색하여 조건에 맞는 대여소 목록을 조회하는 기능을 제공한다. | 관리자 설문 리스트 조회 |
| 6 | 회원이 특정 대여소의 상세 정보를 조회하는 기능을 제공한다. 자전거를 대여하는 기능과 예약 대기하는 기능을 제공한다. | 관리자 설문 상세 팝업 조회 |
| 7 | 회원이 예약 대기된 자전거 목록을 조회하는 기능을 제공한다. 각 예약 대기에 대해 취소하는 기능을 제공한다.  | 설문 삭제 |

| 8 | 회원이 조건에 맞는 설문을 검색하는 기능을 제공한다.| 설문 검색 |
| 9 | 회원이 설문의 상세 정보를 조회하는 기능을 제공한다. | 설문 상세정보 조회 |
| 10 | 회원이 진행 중인 설문에 응답하는 기능을 제공한다. | 설문 응답 |

| 11 | 회원이 진행 중인 설문에 응답하는 기능을 제공한다. | 통계 조회 |



